,val_updated,date_,event_type
0,2018-10-09 17:01:30.662390+00:00,2018-10-09 17:01:30.662389+00:00,5
1,2018-10-09 17:01:30.687675+00:00,2018-10-09 17:01:30.687675+00:00,5
2,2018-10-09 17:03:23.952848+00:00,2018-10-09 17:03:23.952847+00:00,1
3,2018-10-09 17:05:42.327744+00:00,2018-10-09 17:05:42.327744+00:00,7
4,2018-09-24 16:36:38.177661+00:00,2018-10-09 17:06:29.708909+00:00,7
5,2018-10-09 17:07:14.365317+00:00,2018-10-09 17:07:14.365317+00:00,1
6,2018-10-09 17:07:39.524278+00:00,2018-10-09 17:07:39.524278+00:00,5
7,2018-10-09 17:11:59.166544+00:00,2018-10-09 17:11:59.166544+00:00,1
8,2018-10-09 17:14:04.493822+00:00,2018-10-09 17:14:04.493821+00:00,1
9,2018-10-09 17:14:04.497362+00:00,2018-10-09 17:14:04.497362+00:00,1
10,2018-10-09 17:14:04.498619+00:00,2018-10-09 17:14:04.498619+00:00,1
11,2018-10-09 17:14:04.499753+00:00,2018-10-09 17:14:04.499753+00:00,1
12,2018-10-09 17:14:04.501011+00:00,2018-10-09 17:14:04.501011+00:00,1
13,2018-10-09 17:14:52.648511+00:00,2018-10-09 17:14:52.648510+00:00,5
14,2018-10-09 17:15:40.574491+00:00,2018-10-09 17:15:40.574491+00:00,5
15,2018-10-09 17:16:00.729349+00:00,2018-10-09 17:16:00.729349+00:00,1
16,2018-10-09 17:16:00.733344+00:00,2018-10-09 17:16:00.733343+00:00,1
17,2018-10-09 17:16:00.734222+00:00,2018-10-09 17:16:00.734222+00:00,1
18,2018-10-09 02:07:01.199057+00:00,2018-10-09 17:17:43.902217+00:00,7
19,2018-10-09 17:20:38.640263+00:00,2018-10-09 17:20:38.640263+00:00,7
20,2018-10-09 17:20:57.858719+00:00,2018-10-09 17:20:57.858718+00:00,1
21,2018-10-09 17:21:49.249345+00:00,2018-10-09 17:21:49.249344+00:00,5
22,2018-10-09 17:21:49.255883+00:00,2018-10-09 17:21:49.255883+00:00,5
23,2018-10-09 17:21:49.262736+00:00,2018-10-09 17:21:49.262736+00:00,5
24,2018-10-09 17:21:49.269057+00:00,2018-10-09 17:21:49.269057+00:00,5
25,2018-10-09 17:22:08.381317+00:00,2018-10-09 17:22:08.381316+00:00,5
26,2018-10-09 17:24:40.929302+00:00,2018-10-09 17:24:40.929302+00:00,7
27,2018-10-09 17:27:14.454754+00:00,2018-10-09 17:27:14.454753+00:00,1
28,2018-10-09 17:27:14.455665+00:00,2018-10-09 17:27:14.455664+00:00,1
29,2018-10-09 17:27:25.861704+00:00,2018-10-09 17:27:25.861703+00:00,5
30,2018-10-09 17:27:41.440066+00:00,2018-10-09 17:27:41.440065+00:00,7
31,2018-10-09 17:29:54.145717+00:00,2018-10-09 17:29:54.145716+00:00,5
32,2018-10-09 17:29:54.159177+00:00,2018-10-09 17:29:54.159176+00:00,5
33,2018-10-09 17:29:54.165277+00:00,2018-10-09 17:29:54.165277+00:00,5
34,2018-10-09 17:29:54.171713+00:00,2018-10-09 17:29:54.171713+00:00,5
35,2018-10-09 17:30:16.234321+00:00,2018-10-09 17:30:16.234321+00:00,5
36,2018-10-09 17:30:16.241860+00:00,2018-10-09 17:30:16.241860+00:00,5
37,2018-10-09 17:32:37.230773+00:00,2018-10-09 17:32:37.230772+00:00,7
38,2018-10-09 17:35:38.336759+00:00,2018-10-09 17:35:38.336759+00:00,7
